id_grupo;nombre_grupo_etNIco;codigo_pertenencia_etNIa
0;;6
1;FINZENU DE SAN SEBASTIAN;1
2;ACHIOTE;1
3;ZENU;1
4;COSTA DE ORO;1
5;LOMA DE TIGRE BUENOS AIRES;1
6;;5
7;LAS PIEDRAS;1
8;LA ESMERALDA DE COLOSO;1
9;Por definir;1
10;EMBERA KATIO;1
11;WAYUU;1
12;SABANAS DE LA NEGRA;1
13;SAN ANTONIO;1
14;QUEVEVA;1
15;PANSENIOR;1
16;CABECERA MUNICIPAL;1
17;MATEO PEREZ;1
18;GUAIMARO;1
19;LAS LOMAS;1
20;URBANO DE SAN ANDRES DE SOTAVENTO;1
21;CERRITO DE LA PALMA;1
22;LA GALLERA;1
23;MARUZA;1
24;URBANA DE SAMPUES;1
25;PIEDRAS BLANCAS;1
26;LA PENIATA;1
27;CHORRILLO;1
28;LOS ALTOS;1
29;TATACHIO MIRABEL;1
30;GALAPA;1
31;MONTEGRANDE;1
32;ISLA GALLINAZO;1
33;CUIVA-CANIO VIEJO;1
34;LA PALMIRA;1
35;LA ESMERALDA DE CHOCHO;1
36;TOLIMA;1
37;PALMITAL;1
38;MORROY;1
39;CRUZ DEL BEQUE;1
40;LA ESPERANZA;1
41;TORRENTE;1
42;COMEJEN;1
43;CIENAGUITA;1
44;SAN MARTIN;1
45;JEGuITA;1
46;GUALON;1
47;LAS HUERTAS;1
48;SAN MIGUEL;1
49;VILUT;1
50;LAS CAVERNAS;1
51;PASTOS ORO VERDE;1
52;SAN JACINTO;1
53;SAN ANTONIO URBANO;1
54;LA UNION FLORESTA;1
55;VILLANUEVA;1
56;MANICA;1
57;LA PISTA;1
58;SANTO DOMINGO VIDAL;1
59;CALLE LARGA;1
60;AYWJAWASHI EL JORDAN;1
61;ESCOBAR ARRIBA;1
62;SABANALARGA PALITO;1
63;SABANAS DEL POTRERO;1
64;SANTA ROSA;1
65;PUERTO VIEJO;1
66;LA ISLA;1
67;LA VENTA LA ESPERANZA;1
68;HUERTAS CHICAS ARRIBA;1
